content,content_clean,content_preprocessing,polarity_score,polarity
Bagaimana mengatasi penyimpangan yang sudah full? Sudah saya hapus tapi tidak bisa karena masa periode nya masih berlaku,bagaimana mengatasi penyimpangan yang sudah full sudah saya hapus tapi tidak bisa karena masa periode nya masih berlaku,"['bagaimana', 'atas', 'simpang', 'full', 'hapus', 'masa', 'periode', 'nya', 'laku']",-11,negative
Aplikasinya bagus sekali Bisa membantu mahasiswa dalam kegiatan perkuliahan,aplikasinya bagus sekali bisa membantu mahasiswa dalam kegiatan perkuliahan,"['aplikasi', 'bagus', 'sekali', 'bantu', 'mahasiswa', 'giat', 'kuliah']",-9,negative
Sangat bagus,sangat bagus,"['sangat', 'bagus']",-4,negative
Good,good,['good'],5,positive
Masih banyak tab yang bug tolong di rapihkan kembali terimakasih,masih banyak tab yang bug tolong di rapihkan kembali terimakasih,"['banyak', 'tab', 'bug', 'rapihkan', 'terimakasih']",5,positive
"Mohon min. Untuk pembagian kelompoknya jangan sesuai abjad, semoga ada perubahannya dan ratingnya nanti bagus",mohon min untuk pembagian kelompoknya jangan sesuai abjad semoga ada perubahannya dan ratingnya nanti bagus,"['mohon', 'min', 'bagi', 'kelompok', 'jangan', 'sesuai', 'abjad', 'moga', 'ubah', 'ratingnya', 'bagus']",-8,negative
ngebug wktu quiz padahal jaringan aman aman saja,ngebug wktu quiz padahal jaringan aman aman saja,"['ngebug', 'wktu', 'quiz', 'padahal', 'jaring', 'aman', 'aman']",3,positive
Bug nya banyak banget bikin risih,bug nya banyak banget bikin risih,"['bug', 'nya', 'banyak', 'banget', 'bikin', 'risih']",1,positive
Kasih bintang 5 dah biar uts lancar,kasih bintang  dah biar uts lancar,"['kasih', 'bintang', 'dah', 'biar', 'uts', 'lancar']",-2,negative
Jelek. Submit file gak ke upload,jelek submit file gak ke upload,"['jelek', 'submit', 'file', 'gak', 'upload']",-5,negative
"kok akun saya tiba-tiba keluar sendiri dari apk nya padahal ngga di apa-apain, pas masuk lagi malah semua data-datanya pada ilang, gimana nih min tolong dong ini saya gimana mau ngikutin perkuliahan🙏😭 sekarang sudah jadi",kok akun saya tibatiba keluar sendiri dari apk nya padahal ngga di apaapain pas masuk lagi malah semua datadatanya pada ilang gimana nih min tolong dong ini saya gimana mau ngikutin perkuliahan sekarang sudah jadi,"['kok', 'akun', 'tibatiba', 'keluar', 'sendiri', 'apk', 'nya', 'padahal', 'ngga', 'apaapain', 'pas', 'masuk', 'malah', 'semua', 'datadatanya', 'ilang', 'gimana', 'nih', 'min', 'dong', 'gimana', 'mau', 'ngikutin', 'kuliah', 'sekarang', 'jadi']",-16,negative
Cs nya bagus cepat dan tanggap👍👍👍,cs nya bagus cepat dan tanggap,"['cs', 'nya', 'bagus', 'cepat', 'tanggap']",1,positive
